Title,Year,Duration,Rating,Votes
1. Kuru Otlar Üstüne,NA,NA,NA,NA
2. Yedinci Kogustaki Mucize,NA,NA,NA,NA
3. Baskin,NA,NA,NA,NA
4. Kis Uykusu,NA,NA,NA,NA
5. Cebimdeki Yabanci,NA,NA,NA,NA
6. Ayla,NA,NA,NA,NA
7. Bir Zamanlar Anadolu'da,NA,NA,NA,NA
8. Ahlat Agaci,NA,NA,NA,NA
9. Istanbul Için Son Çagri,NA,NA,NA,NA
10. Dag II,NA,NA,NA,NA
11. Kurak Günler,NA,NA,NA,NA
12. Dabbe: Cin Çarpmasi,NA,NA,NA,NA
13. Mucize,NA,NA,NA,NA
14. Bihter,NA,NA,NA,NA
15. Siccîn,NA,NA,NA,NA
16. Ölümlü Dünya 2,NA,NA,NA,NA
17. Ölümlü Dünya,NA,NA,NA,NA
18. Kedi,NA,NA,NA,NA
19. The Ottoman Lieutenant,NA,NA,NA,NA
20. Dag,NA,NA,NA,NA
21. Av Mevsimi,NA,NA,NA,NA
22. Do Not Disturb,NA,NA,NA,NA
23. Okul Tirasi,NA,NA,NA,NA
24. Aile Arasinda,NA,NA,NA,NA
25. Siccin 2,NA,NA,NA,NA
1. Babam ve Oglum,NA,NA,NA,NA
2. Günesi Gördüm,NA,NA,NA,NA
3. G.O.R.A.,NA,NA,NA,NA
4. Uzak,NA,NA,NA,NA
5. Masumiyet,NA,NA,NA,NA
6. Eskiya,NA,NA,NA,NA
7. Kader,NA,NA,NA,NA
8. Hababam Sinifi,NA,NA,NA,NA
9. Issiz Adam,NA,NA,NA,NA
10. Barda,NA,NA,NA,NA
11. Uçurtmayi Vurmasinlar,NA,NA,NA,NA
12. D@bbe,NA,NA,NA,NA
13. Yol,NA,NA,NA,NA
14. Vavien,NA,NA,NA,NA
15. Kurtlar Vadisi: Irak,NA,NA,NA,NA
16. Nefes,NA,NA,NA,NA
17. Agir Roman,NA,NA,NA,NA
18. Vizontele,NA,NA,NA,NA
19. Üç Maymun,NA,NA,NA,NA
20. Sevmek Zamani,NA,NA,NA,NA
21. Recep Ivedik,NA,NA,NA,NA
22. Gemide,NA,NA,NA,NA
23. A.R.O.G,NA,NA,NA,NA
24. Yahsi Bati,NA,NA,NA,NA
25. Itiraf,NA,NA,NA,NA
